family,n_activities,n_skills,n_resources,n_precedences,skill_factor,modified_resource_strength,network_complexity,network_density,mspsp_instance
set-1a,22,4,10,31,0.5,0.125,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn.txt
set-1a,22,4,10,31,0.5,0.125,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn.txt
set-1a,22,4,10,31,0.5,0.125,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn.txt
set-1a,22,4,10,31,0.5,0.125,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn.txt
set-1a,22,4,10,31,0.5,0.125,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn.txt
set-1a,22,4,10,31,0.5,0.125,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn.txt
set-1a,22,4,13,31,0.5,0.1625,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn.txt
set-1a,22,4,13,31,0.5,0.1625,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn.txt
set-1a,22,4,13,31,0.5,0.1625,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn.txt
set-1a,22,4,13,31,0.5,0.1625,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn.txt
set-1a,22,4,13,31,0.5,0.1625,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn.txt
set-1a,22,4,13,31,0.5,0.1625,1.4090909090909092,0.0670995670995671,./modules/rcpsp-instances/MSPSP/set-1a/inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn.txt
