family,n_activities,n_skills,n_resources,n_precedences,skill_factor,modified_resource_strength,network_complexity,network_density,mspsp_instance
set-2b,32,12,11,48,0.1527777777777778,0.06666666666666665,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m11_00.dzn.txt
set-2b,32,12,14,48,0.18888888888888888,0.06862745098039216,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m14_00.dzn.txt
set-2b,32,12,15,48,0.24166666666666667,0.05747126436781609,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m15_00.dzn.txt
set-2b,32,12,15,48,0.20555555555555555,0.06756756756756757,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m15_01.dzn.txt
set-2b,32,12,15,48,0.24166666666666667,0.05747126436781609,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m15_02.dzn.txt
set-2b,32,12,16,48,0.2222222222222222,0.06666666666666667,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m16_00.dzn.txt
set-2b,32,12,17,48,0.19722222222222222,0.07981220657276995,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m17_00.dzn.txt
set-2b,32,12,18,48,0.2833333333333333,0.058823529411764705,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m18_00.dzn.txt
set-2b,32,12,18,48,0.25555555555555554,0.06521739130434782,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l12_m18_01.dzn.txt
set-2b,32,15,19,48,0.20222222222222222,0.0695970695970696,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l15_m19_00.dzn.txt
set-2b,32,9,10,48,0.18518518518518517,0.06666666666666668,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l9_m10_00.dzn.txt
set-2b,32,9,12,48,0.24074074074074073,0.06153846153846154,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l9_m12_00.dzn.txt
set-2b,32,9,15,48,0.25925925925925924,0.07142857142857144,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l9_m15_00.dzn.txt
set-2b,32,9,8,48,0.15185185185185185,0.06504065040650407,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l9_m8_00.dzn.txt
set-2b,32,9,8,48,0.14814814814814814,0.06666666666666667,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l9_m8_01.dzn.txt
set-2b,32,9,9,48,0.2037037037037037,0.05454545454545454,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l9_m9_00.dzn.txt
set-2b,32,9,9,48,0.1814814814814815,0.06122448979591836,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n30_l9_m9_01.dzn.txt
set-2b,62,12,15,93,0.22916666666666666,0.015151515151515152,1.5,0.02459016393442623,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n60_l12_m15_00.dzn.txt
set-2b,62,12,18,93,0.23194444444444445,0.017964071856287425,1.5,0.02459016393442623,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n60_l12_m18_00.dzn.txt
set-2b,62,12,8,93,0.12083333333333333,0.01532567049808429,1.5,0.02459016393442623,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n60_l12_m8_00.dzn.txt
set-2b,62,15,13,93,0.14777777777777779,0.016290726817042606,1.5,0.02459016393442623,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n60_l15_m13_00.dzn.txt
set-2b,62,15,16,93,0.17444444444444446,0.016985138004246284,1.5,0.02459016393442623,./modules/rcpsp-instances/MSPSP/set-2b/inst_set2b_sf0_nc1.5_n60_l15_m16_00.dzn.txt
