family,n_activities,n_skills,n_resources,n_precedences,skill_factor,modified_resource_strength,network_complexity,network_density,mspsp_instance
set-2c,32,10,15,48,0.43333333333333335,0.03846153846153845,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l10_m15_00.dzn.txt
set-2c,32,10,4,48,0.19,0.023391812865497075,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l10_m4_00.dzn.txt
set-2c,32,10,6,48,0.24666666666666667,0.02702702702702703,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l10_m6_00.dzn.txt
set-2c,32,10,8,48,0.35,0.025396825396825397,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l10_m8_00.dzn.txt
set-2c,32,12,4,48,0.15,0.02469135802469136,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l12_m4_00.dzn.txt
set-2c,32,12,8,48,0.2972222222222222,0.024922118380062305,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l12_m8_00.dzn.txt
set-2c,32,3,10,48,0.7444444444444445,0.04975124378109453,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l3_m10_00.dzn.txt
set-2c,32,3,4,48,0.5444444444444444,0.027210884353741496,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l3_m4_00.dzn.txt
set-2c,32,3,4,48,0.5777777777777777,0.025641025641025644,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l3_m4_01.dzn.txt
set-2c,32,3,8,48,0.6666666666666666,0.044444444444444446,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l3_m8_00.dzn.txt
set-2c,32,3,8,48,0.8111111111111111,0.0365296803652968,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l3_m8_01.dzn.txt
set-2c,32,4,10,48,0.65,0.042735042735042736,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l4_m10_00.dzn.txt
set-2c,32,4,4,48,0.375,0.02962962962962963,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l4_m4_00.dzn.txt
set-2c,32,4,4,48,0.45,0.024691358024691357,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l4_m4_01.dzn.txt
set-2c,32,4,6,48,0.4166666666666667,0.04,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l4_m6_00.dzn.txt
set-2c,32,4,6,48,0.5083333333333333,0.03278688524590164,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l4_m6_01.dzn.txt
set-2c,32,5,10,48,0.48,0.046296296296296294,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l5_m10_00.dzn.txt
set-2c,32,5,4,48,0.30666666666666664,0.028985507246376812,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l5_m4_00.dzn.txt
set-2c,32,5,4,48,0.35333333333333333,0.025157232704402517,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l5_m4_01.dzn.txt
set-2c,32,5,6,48,0.44666666666666666,0.029850746268656716,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l5_m6_00.dzn.txt
set-2c,32,5,8,48,0.5,0.035555555555555556,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l5_m8_00.dzn.txt
set-2c,32,6,10,48,0.48333333333333334,0.038314176245210725,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l6_m10_00.dzn.txt
set-2c,32,6,15,48,0.6277777777777778,0.04424778761061947,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l6_m15_00.dzn.txt
set-2c,32,6,6,48,0.29444444444444445,0.03773584905660377,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l6_m6_00.dzn.txt
set-2c,32,6,6,48,0.35,0.03174603174603175,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l6_m6_01.dzn.txt
set-2c,32,6,8,48,0.45555555555555555,0.032520325203252036,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l6_m8_00.dzn.txt
set-2c,32,7,10,48,0.4,0.03968253968253967,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l7_m10_00.dzn.txt
set-2c,32,7,10,48,0.46190476190476193,0.03436426116838488,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l7_m10_01.dzn.txt
set-2c,32,7,4,48,0.22857142857142856,0.027777777777777783,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l7_m4_00.dzn.txt
set-2c,32,7,4,48,0.28095238095238095,0.022598870056497175,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l7_m4_01.dzn.txt
set-2c,32,7,8,48,0.35714285714285715,0.035555555555555556,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l7_m8_00.dzn.txt
set-2c,32,7,8,48,0.4380952380952381,0.028985507246376812,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l7_m8_01.dzn.txt
set-2c,32,8,4,48,0.225,0.024691358024691357,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l8_m4_00.dzn.txt
set-2c,32,8,6,48,0.3125,0.02666666666666667,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l8_m6_00.dzn.txt
set-2c,32,8,6,48,0.30833333333333335,0.02702702702702703,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l8_m6_01.dzn.txt
set-2c,32,8,8,48,0.20416666666666666,0.05442176870748299,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l8_m8_00.dzn.txt
set-2c,32,9,15,48,0.42962962962962964,0.04310344827586207,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l9_m15_00.dzn.txt
set-2c,32,9,4,48,0.23333333333333334,0.021164021164021163,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l9_m4_00.dzn.txt
set-2c,32,9,6,48,0.3037037037037037,0.024390243902439025,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l9_m6_00.dzn.txt
set-2c,32,9,8,48,0.2777777777777778,0.035555555555555556,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l9_m8_00.dzn.txt
set-2c,32,9,8,48,0.35185185185185186,0.02807017543859649,1.5,0.04838709677419355,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.5_n30_l9_m8_01.dzn.txt
set-2c,32,10,10,58,0.36333333333333334,0.03058103975535168,1.8125,0.05846774193548387,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.93_n30_l10_m10_00.dzn.txt
set-2c,32,10,8,58,0.29333333333333333,0.030303030303030304,1.8125,0.05846774193548387,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.93_n30_l10_m8_00.dzn.txt
set-2c,32,12,10,58,0.22777777777777777,0.04065040650406504,1.8125,0.05846774193548387,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.93_n30_l12_m10_00.dzn.txt
set-2c,32,12,4,58,0.14722222222222223,0.025157232704402517,1.8125,0.05846774193548387,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.93_n30_l12_m4_00.dzn.txt
set-2c,32,12,8,58,0.25555555555555554,0.028985507246376812,1.8125,0.05846774193548387,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.93_n30_l12_m8_00.dzn.txt
set-2c,32,9,4,58,0.2111111111111111,0.023391812865497075,1.8125,0.05846774193548387,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc1.93_n30_l9_m4_00.dzn.txt
set-2c,22,10,10,40,0.25,0.1,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l10_m10_00.dzn.txt
set-2c,22,10,10,40,0.4,0.0625,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l10_m10_01.dzn.txt
set-2c,22,10,4,40,0.155,0.06451612903225806,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l10_m4_00.dzn.txt
set-2c,22,10,8,40,0.25,0.08,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l10_m8_00.dzn.txt
set-2c,22,10,8,40,0.28,0.07142857142857141,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l10_m8_01.dzn.txt
set-2c,22,12,15,40,0.225,0.1388888888888889,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l12_m15_00.dzn.txt
set-2c,22,12,4,40,0.17083333333333334,0.04878048780487805,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l12_m4_00.dzn.txt
set-2c,22,12,6,40,0.19583333333333333,0.06382978723404255,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l12_m6_00.dzn.txt
set-2c,22,12,6,40,0.2,0.06249999999999999,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l12_m6_01.dzn.txt
set-2c,22,3,10,40,0.7333333333333333,0.11363636363636365,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l3_m10_00.dzn.txt
set-2c,22,3,4,40,0.5,0.06666666666666667,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l3_m4_00.dzn.txt
set-2c,22,3,4,40,0.43333333333333335,0.07692307692307693,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l3_m4_01.dzn.txt
set-2c,22,3,6,40,0.6333333333333333,0.07894736842105263,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l3_m6_00.dzn.txt
set-2c,22,3,8,40,0.6666666666666666,0.1,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l3_m8_00.dzn.txt
set-2c,22,4,10,40,0.5625,0.1111111111111111,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l4_m10_00.dzn.txt
set-2c,22,4,10,40,0.6,0.10416666666666667,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l4_m10_01.dzn.txt
set-2c,22,4,15,40,0.525,0.17857142857142858,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l4_m15_00.dzn.txt
set-2c,22,4,4,40,0.375,0.06666666666666667,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l4_m4_00.dzn.txt
set-2c,22,4,6,40,0.5125,0.07317073170731707,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l4_m6_00.dzn.txt
set-2c,22,4,8,40,0.65,0.07692307692307693,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l4_m8_00.dzn.txt
set-2c,22,5,10,40,0.51,0.09803921568627451,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l5_m10_00.dzn.txt
set-2c,22,5,4,40,0.33,0.06060606060606061,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l5_m4_00.dzn.txt
set-2c,22,5,8,40,0.53,0.07547169811320753,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l5_m8_00.dzn.txt
set-2c,22,5,8,40,0.63,0.06349206349206349,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l5_m8_01.dzn.txt
set-2c,22,6,15,40,0.5416666666666666,0.11538461538461539,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l6_m15_00.dzn.txt
set-2c,22,6,4,40,0.3,0.05555555555555555,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l6_m4_00.dzn.txt
set-2c,22,6,6,40,0.4083333333333333,0.061224489795918366,1.8181818181818181,0.08658008658008658,./modules/rcpsp-instances/MSPSP/set-2c/inst_set2c_sf0_nc2.1_n20_l6_m6_00.dzn.txt
