,family,implied,n.,t.o,t.o %,n. solved,solved %,progress vs base,progress vs base (%),q1.,med.,q3.,avg.
0,set-1a,0000,216,26,12.04,190,87.96,0,0.0,0.07,0.55,4.82,86.69
1,set-1a,1000,216,28,12.96,188,87.04,-2,-0.93,0.07,0.29,4.14,84.77
2,set-1a,0100,216,0,0.0,216,100.0,26,12.04,0.06,0.09,0.45,0.53
3,set-1a,0010,216,0,0.0,216,100.0,26,12.04,0.06,0.11,0.29,0.66
4,set-1a,1100,216,0,0.0,216,100.0,26,12.04,0.06,0.09,0.34,0.56
5,set-1a,0001,216,19,8.8,197,91.2,7,3.24,0.23,1.15,6.9,69.46
6,set-1b,0000,216,197,91.2,19,8.8,0,0.0,600.0,600.0,600.0,559.46
7,set-1b,1000,216,193,89.35,23,10.65,4,1.85,600.0,600.0,600.0,548.51
8,set-1b,0100,216,133,61.57,83,38.43,64,29.63,104.16,600.0,600.0,413.95
9,set-1b,0010,216,101,46.76,115,53.24,96,44.44,44.41,414.29,600.0,343.69
10,set-1b,1100,216,131,60.65,85,39.35,66,30.56,99.04,600.0,600.0,410.35
11,set-1b,0001,216,198,91.67,18,8.33,-1,-0.46,600.0,600.0,600.0,558.65
12,set-2a,0000,110,34,30.91,76,69.09,0,0.0,1.23,8.24,600.0,217.16
13,set-2a,1000,110,33,30.0,77,70.0,1,0.91,0.87,7.02,600.0,203.37
14,set-2a,0100,110,16,14.55,94,85.45,18,16.36,0.52,4.62,205.37,139.57
15,set-2a,0010,110,9,8.18,101,91.82,25,22.73,0.23,1.96,122.85,106.86
16,set-2a,1100,110,10,9.09,100,90.91,24,21.82,0.27,6.74,125.42,110.75
17,set-2a,0001,110,37,33.64,73,66.36,-3,-2.73,1.85,9.34,600.0,224.29
18,set-2b,0000,77,8,10.39,69,89.61,0,0.0,0.03,0.17,4.64,89.53
19,set-2b,1000,77,9,11.69,68,88.31,-1,-1.3,0.03,0.11,4.99,89.33
20,set-2b,0100,77,8,10.39,69,89.61,0,0.0,0.03,0.13,4.76,76.19
21,set-2b,0010,77,7,9.09,70,90.91,1,1.3,0.03,0.23,9.68,70.77
22,set-2b,1100,77,7,9.09,70,90.91,1,1.3,0.03,0.12,5.34,74.99
23,set-2b,0001,77,10,12.99,67,87.01,-2,-2.6,0.05,0.28,7.16,91.05
24,set-2c,0000,91,3,3.3,88,96.7,0,0.0,0.32,0.8,3.38,40.87
25,set-2c,1000,91,4,4.4,87,95.6,-1,-1.1,0.24,0.84,3.26,43.16
26,set-2c,0100,91,0,0.0,91,100.0,3,3.3,0.03,0.1,0.6,0.65
27,set-2c,0010,91,0,0.0,91,100.0,3,3.3,0.05,0.14,0.69,2.78
28,set-2c,1100,91,0,0.0,91,100.0,3,3.3,0.04,0.1,0.43,0.67
29,set-2c,0001,91,2,2.2,89,97.8,1,1.1,0.36,0.92,3.82,24.89
30,set-3a,0000,216,183,84.72,33,15.28,0,0.0,600.0,600.0,600.0,512.59
31,set-3a,1000,216,181,83.8,35,16.2,2,0.93,600.0,600.0,600.0,511.1
32,set-3a,0100,216,163,75.46,53,24.54,20,9.26,600.0,600.0,600.0,466.16
33,set-3a,0010,216,166,76.85,50,23.15,17,7.87,600.0,600.0,600.0,477.63
34,set-3a,1100,216,160,74.07,56,25.93,23,10.65,535.25,600.0,600.0,464.64
35,set-3a,0001,216,186,86.11,30,13.89,-3,-1.39,600.0,600.0,600.0,528.66
36,set-3b,0000,216,165,76.39,51,23.61,0,0.0,600.0,600.0,600.0,468.58
37,set-3b,1000,216,165,76.39,51,23.61,0,0.0,600.0,600.0,600.0,467.73
38,set-3b,0100,216,138,63.89,78,36.11,27,12.5,21.28,600.0,600.0,401.64
39,set-3b,0010,216,140,64.81,76,35.19,25,11.57,53.79,600.0,600.0,414.63
40,set-3b,1100,216,140,64.81,76,35.19,25,11.57,24.96,600.0,600.0,401.76
41,set-3b,0001,216,166,76.85,50,23.15,-1,-0.46,600.0,600.0,600.0,474.93
