,family,implied,n.,t.o,t.o %,n. solved,solved %,progress vs base,progress vs base (%),q1.,med.,q3.,avg.
0,set-1a,0000,432,53,12.27,379,87.73,0,0.0,0.18,0.71,8.45,87.73
1,set-1a,1000,432,54,12.5,378,87.5,-1,-0.23,0.17,0.59,5.98,85.31
2,set-1a,0100,432,2,0.46,430,99.54,51,11.81,0.09,0.32,1.02,0.88
3,set-1a,0010,432,2,0.46,430,99.54,51,11.81,0.11,0.32,1.28,1.09
4,set-1a,1100,432,2,0.46,430,99.54,51,11.81,0.09,0.29,1.02,0.92
5,set-1a,0001,432,43,9.95,389,90.05,10,2.31,1.01,3.31,16.1,80.72
6,set-1b,0000,432,399,92.36,33,7.64,0,0.0,600.0,600.0,600.0,564.34
7,set-1b,1000,432,393,90.97,39,9.03,6,1.39,600.0,600.0,600.0,555.76
8,set-1b,0100,432,294,68.06,138,31.94,105,24.31,254.88,600.0,600.0,455.64
9,set-1b,0010,432,227,52.55,205,47.45,172,39.81,89.42,600.0,600.0,380.14
10,set-1b,1100,432,289,66.9,143,33.1,110,25.46,211.22,600.0,600.0,446.46
11,set-1b,0001,432,401,92.82,31,7.18,-2,-0.46,600.0,600.0,600.0,567.33
12,set-2a,0000,220,76,34.55,144,65.45,0,0.0,1.8,13.73,600.0,229.95
13,set-2a,1000,220,72,32.73,148,67.27,4,1.82,1.53,10.74,600.0,217.98
14,set-2a,0100,220,32,14.55,188,85.45,44,20.0,0.75,8.93,226.03,147.79
15,set-2a,0010,220,21,9.55,199,90.45,55,25.0,0.5,3.54,161.83,116.23
16,set-2a,1100,220,23,10.45,197,89.55,53,24.09,0.51,10.44,145.5,120.34
17,set-2a,0001,220,79,35.91,141,64.09,-3,-1.36,3.6,22.38,600.0,238.26
18,set-2b,0000,154,22,14.29,132,85.71,0,0.0,0.06,0.55,16.42,100.48
19,set-2b,1000,154,24,15.58,130,84.42,-2,-1.3,0.06,0.51,13.07,101.29
20,set-2b,0100,154,20,12.99,134,87.01,2,1.3,0.06,0.57,12.42,87.57
21,set-2b,0010,154,16,10.39,138,89.61,6,3.9,0.07,0.69,25.24,74.77
22,set-2b,1100,154,19,12.34,135,87.66,3,1.95,0.07,0.6,11.31,87.89
23,set-2b,0001,154,23,14.94,131,85.06,-1,-0.65,0.13,1.25,25.6,105.19
24,set-2c,0000,182,11,6.04,171,93.96,0,0.0,0.32,1.27,6.13,50.71
25,set-2c,1000,182,12,6.59,170,93.41,-1,-0.55,0.28,1.23,6.68,51.82
26,set-2c,0100,182,2,1.1,180,98.9,9,4.95,0.06,0.18,0.94,1.17
27,set-2c,0010,182,3,1.65,179,98.35,8,4.4,0.1,0.25,1.64,6.16
28,set-2c,1100,182,2,1.1,180,98.9,9,4.95,0.07,0.2,1.0,1.17
29,set-2c,0001,182,6,3.3,176,96.7,5,2.75,0.52,1.7,7.84,35.51
30,set-3a,0000,432,358,82.87,74,17.13,0,0.0,600.0,600.0,600.0,518.03
31,set-3a,1000,432,355,82.18,77,17.82,3,0.69,600.0,600.0,600.0,519.26
32,set-3a,0100,432,331,76.62,101,23.38,27,6.25,600.0,600.0,600.0,488.97
33,set-3a,0010,432,333,77.08,99,22.92,25,5.79,600.0,600.0,600.0,498.27
34,set-3a,1100,432,326,75.46,106,24.54,32,7.41,600.0,600.0,600.0,489.18
35,set-3a,0001,432,367,84.95,65,15.05,-9,-2.08,600.0,600.0,600.0,526.75
36,set-3b,0000,432,325,75.23,107,24.77,0,0.0,600.0,600.0,600.0,471.34
37,set-3b,1000,432,324,75.0,108,25.0,1,0.23,589.53,600.0,600.0,474.65
38,set-3b,0100,432,287,66.44,145,33.56,38,8.8,99.06,600.0,600.0,425.73
39,set-3b,0010,432,287,66.44,145,33.56,38,8.8,122.29,600.0,600.0,434.07
40,set-3b,1100,432,290,67.13,142,32.87,35,8.1,105.77,600.0,600.0,427.02
41,set-3b,0001,432,330,76.39,102,23.61,-5,-1.16,600.0,600.0,600.0,476.56
