,family,implied,n.,t.o,t.o %,n. solved,solved %,progress vs base,progress vs base (%),q1.,med.,q3.,avg.
0,set-1a,0000,216,27,12.5,189,87.5,0,0.0,0.31,0.89,16.7,88.78
1,set-1a,1000,216,26,12.04,190,87.96,1,0.46,0.3,0.85,11.51,85.85
2,set-1a,0100,216,2,0.93,214,99.07,25,11.57,0.28,0.64,1.36,1.22
3,set-1a,0010,216,2,0.93,214,99.07,25,11.57,0.33,0.77,1.72,1.51
4,set-1a,1100,216,2,0.93,214,99.07,25,11.57,0.28,0.65,1.27,1.28
5,set-1a,0001,216,24,11.11,192,88.89,3,1.39,2.82,5.74,37.23,91.97
6,set-1b,0000,216,202,93.52,14,6.48,0,0.0,600.0,600.0,600.0,569.22
7,set-1b,1000,216,200,92.59,16,7.41,2,0.93,600.0,600.0,600.0,563.02
8,set-1b,0100,216,161,74.54,55,25.46,41,18.98,594.25,600.0,600.0,497.32
9,set-1b,0010,216,126,58.33,90,41.67,76,35.19,142.13,600.0,600.0,416.59
10,set-1b,1100,216,158,73.15,58,26.85,44,20.37,445.55,600.0,600.0,482.56
11,set-1b,0001,216,203,93.98,13,6.02,-1,-0.46,600.0,600.0,600.0,576.0
12,set-2a,0000,110,42,38.18,68,61.82,0,0.0,3.11,17.48,600.0,242.74
13,set-2a,1000,110,39,35.45,71,64.55,3,2.73,2.22,17.2,600.0,232.59
14,set-2a,0100,110,16,14.55,94,85.45,26,23.64,1.16,13.22,296.17,156.01
15,set-2a,0010,110,12,10.91,98,89.09,30,27.27,0.97,5.95,192.34,125.61
16,set-2a,1100,110,13,11.82,97,88.18,29,26.36,1.01,14.32,175.65,129.93
17,set-2a,0001,110,42,38.18,68,61.82,0,0.0,6.36,30.95,600.0,252.23
18,set-2b,0000,77,14,18.18,63,81.82,0,0.0,0.13,1.71,22.73,111.44
19,set-2b,1000,77,15,19.48,62,80.52,-1,-1.3,0.13,2.0,21.91,113.26
20,set-2b,0100,77,12,15.58,65,84.42,2,2.6,0.15,2.19,18.68,98.95
21,set-2b,0010,77,9,11.69,68,88.31,5,6.49,0.15,3.49,29.07,78.77
22,set-2b,1100,77,12,15.58,65,84.42,2,2.6,0.16,2.4,22.22,100.78
23,set-2b,0001,77,13,16.88,64,83.12,1,1.3,0.41,4.57,35.32,119.33
24,set-2c,0000,91,8,8.79,83,91.21,0,0.0,0.38,1.88,10.2,60.54
25,set-2c,1000,91,8,8.79,83,91.21,0,0.0,0.34,2.05,9.96,60.48
26,set-2c,0100,91,2,2.2,89,97.8,6,6.59,0.12,0.43,1.45,1.69
27,set-2c,0010,91,3,3.3,88,96.7,5,5.49,0.18,0.77,2.24,9.54
28,set-2c,1100,91,2,2.2,89,97.8,6,6.59,0.12,0.46,1.6,1.68
29,set-2c,0001,91,4,4.4,87,95.6,4,4.4,0.79,2.43,16.77,46.13
30,set-3a,0000,216,175,81.02,41,18.98,0,0.0,600.0,600.0,600.0,523.47
31,set-3a,1000,216,174,80.56,42,19.44,1,0.46,600.0,600.0,600.0,527.43
32,set-3a,0100,216,168,77.78,48,22.22,7,3.24,600.0,600.0,600.0,511.78
33,set-3a,0010,216,167,77.31,49,22.69,8,3.7,600.0,600.0,600.0,518.91
34,set-3a,1100,216,166,76.85,50,23.15,9,4.17,600.0,600.0,600.0,513.72
35,set-3a,0001,216,181,83.8,35,16.2,-6,-2.78,600.0,600.0,600.0,524.84
36,set-3b,0000,216,160,74.07,56,25.93,0,0.0,354.19,600.0,600.0,474.11
37,set-3b,1000,216,159,73.61,57,26.39,1,0.46,428.86,600.0,600.0,481.56
38,set-3b,0100,216,149,68.98,67,31.02,11,5.09,190.86,600.0,600.0,449.83
39,set-3b,0010,216,147,68.06,69,31.94,13,6.02,162.79,600.0,600.0,453.51
40,set-3b,1100,216,150,69.44,66,30.56,10,4.63,145.24,600.0,600.0,452.29
41,set-3b,0001,216,164,75.93,52,24.07,-4,-1.85,600.0,600.0,600.0,478.2
