,family,implied,n.,t.o,t.o %,n. solved,solved %,progress vs base,progress vs base (%),q1.,med.,q3.,avg.
0,set-1a,0000,216,37,17.13,179,82.87,0,0.0,0.2,1.18,69.65,125.01
1,set-1a,1000,216,36,16.67,180,83.33,1,0.46,0.19,0.66,60.01,119.09
2,set-1a,0100,216,2,0.93,214,99.07,35,16.2,0.17,0.24,1.47,13.03
3,set-1a,0010,216,2,0.93,214,99.07,35,16.2,0.16,0.21,0.4,12.59
4,set-1a,1100,216,2,0.93,214,99.07,35,16.2,0.16,0.24,0.63,12.64
5,set-1a,0001,216,3,1.39,213,98.61,34,15.74,0.18,0.3,3.26,20.41
6,set-1b,0000,216,204,94.44,12,5.56,0,0.0,600.0,600.0,600.0,573.09
7,set-1b,1000,216,206,95.37,10,4.63,-2,-0.93,600.0,600.0,600.0,573.13
8,set-1b,0100,216,178,82.41,38,17.59,26,12.04,600.0,600.0,600.0,515.21
9,set-1b,0010,216,149,68.98,67,31.02,55,25.46,239.15,600.0,600.0,447.85
10,set-1b,1100,216,172,79.63,44,20.37,32,14.81,600.0,600.0,600.0,495.87
11,set-1b,0001,216,166,76.85,50,23.15,38,17.59,600.0,600.0,600.0,493.58
12,set-2a,0000,110,53,48.18,57,51.82,0,0.0,11.33,292.14,600.0,317.12
13,set-2a,1000,110,50,45.45,60,54.55,3,2.73,6.12,242.46,600.0,301.17
14,set-2a,0100,110,44,40.0,66,60.0,9,8.18,1.88,82.98,600.0,265.05
15,set-2a,0010,110,41,37.27,69,62.73,12,10.91,0.48,7.36,600.0,239.72
16,set-2a,1100,110,41,37.27,69,62.73,12,10.91,1.0,53.19,600.0,260.67
17,set-2a,0001,110,44,40.0,66,60.0,9,8.18,1.81,73.32,600.0,269.25
18,set-2b,0000,77,17,22.08,60,77.92,0,0.0,0.1,0.26,142.33,145.6
19,set-2b,1000,77,17,22.08,60,77.92,0,0.0,0.09,0.3,164.81,147.8
20,set-2b,0100,77,16,20.78,61,79.22,1,1.3,0.1,0.25,95.16,137.13
21,set-2b,0010,77,12,15.58,65,84.42,5,6.49,0.1,0.24,20.91,108.92
22,set-2b,1100,77,16,20.78,61,79.22,1,1.3,0.1,0.27,43.05,135.12
23,set-2b,0001,77,17,22.08,60,77.92,0,0.0,0.1,0.26,26.76,137.15
24,set-2c,0000,91,19,20.88,72,79.12,0,0.0,1.82,12.32,321.74,166.19
25,set-2c,1000,91,18,19.78,73,80.22,1,1.1,1.22,10.28,255.4,158.8
26,set-2c,0100,91,0,0.0,91,100.0,19,20.88,0.1,0.2,1.74,11.03
27,set-2c,0010,91,1,1.1,90,98.9,18,19.78,0.12,0.32,2.4,14.81
28,set-2c,1100,91,0,0.0,91,100.0,19,20.88,0.1,0.22,1.86,8.26
29,set-2c,0001,91,1,1.1,90,98.9,18,19.78,0.17,0.42,2.98,16.68
30,set-3a,0000,216,182,84.26,34,15.74,0,0.0,600.0,600.0,600.0,511.78
31,set-3a,1000,216,181,83.8,35,16.2,1,0.46,600.0,600.0,600.0,510.39
32,set-3a,0100,216,169,78.24,47,21.76,13,6.02,600.0,600.0,600.0,481.47
33,set-3a,0010,216,169,78.24,47,21.76,13,6.02,600.0,600.0,600.0,477.62
34,set-3a,1100,216,168,77.78,48,22.22,14,6.48,600.0,600.0,600.0,474.06
35,set-3a,0001,216,166,76.85,50,23.15,16,7.41,600.0,600.0,600.0,475.33
36,set-3b,0000,216,166,76.85,50,23.15,0,0.0,600.0,600.0,600.0,465.51
37,set-3b,1000,216,163,75.46,53,24.54,3,1.39,600.0,600.0,600.0,461.19
38,set-3b,0100,216,150,69.44,66,30.56,16,7.41,30.79,600.0,600.0,427.26
39,set-3b,0010,216,149,68.98,67,31.02,17,7.87,22.23,600.0,600.0,424.65
40,set-3b,1100,216,151,69.91,65,30.09,15,6.94,33.52,600.0,600.0,430.63
41,set-3b,0001,216,147,68.06,69,31.94,19,8.8,18.55,600.0,600.0,420.65
