,family,implied,n.,t.o,t.o %,n. solved,solved %,progress vs base,progress vs base (%),q1.,med.,q3.,avg.
0,set-1a,0000,432,81,18.75,351,81.25,0,0.0,0.25,1.83,124.52,136.14
1,set-1a,1000,432,77,17.82,355,82.18,4,0.93,0.24,1.14,79.69,126.71
2,set-1a,0100,432,2,0.46,430,99.54,79,18.29,0.2,0.36,1.88,12.68
3,set-1a,0010,432,4,0.93,428,99.07,77,17.82,0.19,0.31,0.57,13.13
4,set-1a,1100,432,2,0.46,430,99.54,79,18.29,0.2,0.34,0.88,12.42
5,set-1a,0001,432,11,2.55,421,97.45,70,16.2,0.28,0.54,7.85,34.0
6,set-1b,0000,432,417,96.53,15,3.47,0,0.0,600.0,600.0,600.0,583.01
7,set-1b,1000,432,416,96.3,16,3.7,1,0.23,600.0,600.0,600.0,581.08
8,set-1b,0100,432,376,87.04,56,12.96,41,9.49,600.0,600.0,600.0,537.92
9,set-1b,0010,432,328,75.93,104,24.07,89,20.6,600.0,600.0,600.0,487.17
10,set-1b,1100,432,367,84.95,65,15.05,50,11.57,600.0,600.0,600.0,523.54
11,set-1b,0001,432,370,85.65,62,14.35,47,10.88,600.0,600.0,600.0,534.11
12,set-2a,0000,220,104,47.27,116,52.73,0,0.0,12.3,380.66,600.0,323.04
13,set-2a,1000,220,100,45.45,120,54.55,4,1.82,7.17,233.43,600.0,303.14
14,set-2a,0100,220,90,40.91,130,59.09,14,6.36,2.05,97.08,600.0,273.11
15,set-2a,0010,220,81,36.82,139,63.18,23,10.45,0.65,11.09,600.0,236.95
16,set-2a,1100,220,84,38.18,136,61.82,20,9.09,1.06,76.18,600.0,268.87
17,set-2a,0001,220,92,41.82,128,58.18,12,5.45,4.07,170.89,600.0,290.01
18,set-2b,0000,154,35,22.73,119,77.27,0,0.0,0.11,0.48,159.81,148.46
19,set-2b,1000,154,35,22.73,119,77.27,0,0.0,0.11,0.46,164.98,149.82
20,set-2b,0100,154,31,20.13,123,79.87,4,2.6,0.12,0.48,91.08,137.59
21,set-2b,0010,154,24,15.58,130,84.42,11,7.14,0.12,0.45,27.03,110.11
22,set-2b,1100,154,32,20.78,122,79.22,3,1.95,0.11,0.48,100.92,136.37
23,set-2b,0001,154,34,22.08,120,77.92,1,0.65,0.21,0.52,113.68,145.42
24,set-2c,0000,182,34,18.68,148,81.32,0,0.0,1.55,12.21,177.63,159.06
25,set-2c,1000,182,34,18.68,148,81.32,0,0.0,1.23,10.42,168.84,151.75
26,set-2c,0100,182,0,0.0,182,100.0,34,18.68,0.13,0.34,2.21,10.07
27,set-2c,0010,182,3,1.65,179,98.35,31,17.03,0.17,0.41,2.93,18.12
28,set-2c,1100,182,1,0.55,181,99.45,33,18.13,0.13,0.37,2.56,11.23
29,set-2c,0001,182,2,1.1,180,98.9,32,17.58,0.28,0.66,6.67,20.42
30,set-3a,0000,432,383,88.66,49,11.34,0,0.0,600.0,600.0,600.0,539.76
31,set-3a,1000,432,382,88.43,50,11.57,1,0.23,600.0,600.0,600.0,538.16
32,set-3a,0100,432,367,84.95,65,15.05,16,3.7,600.0,600.0,600.0,519.37
33,set-3a,0010,432,362,83.8,70,16.2,21,4.86,600.0,600.0,600.0,513.26
34,set-3a,1100,432,362,83.8,70,16.2,21,4.86,600.0,600.0,600.0,509.82
35,set-3a,0001,432,358,82.87,74,17.13,25,5.79,600.0,600.0,600.0,511.07
36,set-3b,0000,432,353,81.71,79,18.29,0,0.0,600.0,600.0,600.0,497.78
37,set-3b,1000,432,350,81.02,82,18.98,3,0.69,600.0,600.0,600.0,495.74
38,set-3b,0100,432,322,74.54,110,25.46,31,7.18,555.61,600.0,600.0,459.35
39,set-3b,0010,432,320,74.07,112,25.93,33,7.64,310.39,600.0,600.0,456.2
40,set-3b,1100,432,321,74.31,111,25.69,32,7.41,507.28,600.0,600.0,459.54
41,set-3b,0001,432,319,73.84,113,26.16,34,7.87,473.19,600.0,600.0,457.56
