,family,implied,n.,t.o,t.o %,n. solved,solved %,progress vs base,progress vs base (%),q1.,med.,q3.,avg.
0,set-1a,0000,216,44,20.37,172,79.63,0,0.0,0.31,3.44,173.08,147.28
1,set-1a,1000,216,41,18.98,175,81.02,3,1.39,0.34,1.56,82.54,134.32
2,set-1a,0100,216,0,0.0,216,100.0,44,20.37,0.29,0.44,2.95,12.33
3,set-1a,0010,216,2,0.93,214,99.07,42,19.44,0.28,0.4,0.65,13.67
4,set-1a,1100,216,0,0.0,216,100.0,44,20.37,0.3,0.44,1.19,12.2
5,set-1a,0001,216,8,3.7,208,96.3,36,16.67,0.44,0.68,13.53,47.6
6,set-1b,0000,216,213,98.61,3,1.39,0,0.0,600.0,600.0,600.0,592.92
7,set-1b,1000,216,210,97.22,6,2.78,3,1.39,600.0,600.0,600.0,589.04
8,set-1b,0100,216,198,91.67,18,8.33,15,6.94,600.0,600.0,600.0,560.64
9,set-1b,0010,216,179,82.87,37,17.13,34,15.74,600.0,600.0,600.0,526.49
10,set-1b,1100,216,195,90.28,21,9.72,18,8.33,600.0,600.0,600.0,551.21
11,set-1b,0001,216,204,94.44,12,5.56,9,4.17,600.0,600.0,600.0,574.64
12,set-2a,0000,110,51,46.36,59,53.64,0,0.0,15.58,470.19,600.0,328.95
13,set-2a,1000,110,50,45.45,60,54.55,1,0.91,7.86,223.57,600.0,305.11
14,set-2a,0100,110,46,41.82,64,58.18,5,4.55,2.43,140.57,600.0,281.17
15,set-2a,0010,110,40,36.36,70,63.64,11,10.0,0.79,13.87,600.0,234.19
16,set-2a,1100,110,43,39.09,67,60.91,8,7.27,1.28,134.94,600.0,277.07
17,set-2a,0001,110,48,43.64,62,56.36,3,2.73,6.82,342.68,600.0,310.77
18,set-2b,0000,77,18,23.38,59,76.62,0,0.0,0.12,0.48,165.64,151.32
19,set-2b,1000,77,18,23.38,59,76.62,0,0.0,0.13,0.5,165.04,151.84
20,set-2b,0100,77,15,19.48,62,80.52,3,3.9,0.14,0.56,78.83,138.05
21,set-2b,0010,77,12,15.58,65,84.42,6,7.79,0.14,0.5,27.69,111.3
22,set-2b,1100,77,16,20.78,61,79.22,2,2.6,0.14,0.53,129.78,137.62
23,set-2b,0001,77,17,22.08,60,77.92,1,1.3,0.41,0.58,120.53,153.68
24,set-2c,0000,91,15,16.48,76,83.52,0,0.0,1.54,11.95,162.34,151.92
25,set-2c,1000,91,16,17.58,75,82.42,-1,-1.1,1.27,10.54,122.29,144.71
26,set-2c,0100,91,0,0.0,91,100.0,15,16.48,0.2,0.37,2.42,9.12
27,set-2c,0010,91,2,2.2,89,97.8,13,14.29,0.22,0.45,4.1,21.43
28,set-2c,1100,91,1,1.1,90,98.9,14,15.38,0.18,0.39,2.94,14.2
29,set-2c,0001,91,1,1.1,90,98.9,14,15.38,0.37,0.68,10.66,24.15
30,set-3a,0000,216,201,93.06,15,6.94,0,0.0,600.0,600.0,600.0,567.73
31,set-3a,1000,216,201,93.06,15,6.94,0,0.0,600.0,600.0,600.0,565.93
32,set-3a,0100,216,198,91.67,18,8.33,3,1.39,600.0,600.0,600.0,557.27
33,set-3a,0010,216,193,89.35,23,10.65,8,3.7,600.0,600.0,600.0,548.91
34,set-3a,1100,216,194,89.81,22,10.19,7,3.24,600.0,600.0,600.0,545.57
35,set-3a,0001,216,192,88.89,24,11.11,9,4.17,600.0,600.0,600.0,546.81
36,set-3b,0000,216,187,86.57,29,13.43,0,0.0,600.0,600.0,600.0,530.05
37,set-3b,1000,216,187,86.57,29,13.43,0,0.0,600.0,600.0,600.0,530.29
38,set-3b,0100,216,172,79.63,44,20.37,15,6.94,600.0,600.0,600.0,491.44
39,set-3b,0010,216,171,79.17,45,20.83,16,7.41,600.0,600.0,600.0,487.74
40,set-3b,1100,216,170,78.7,46,21.3,17,7.87,600.0,600.0,600.0,488.44
41,set-3b,0001,216,172,79.63,44,20.37,15,6.94,600.0,600.0,600.0,494.46
