32 3 4
0 1 2
1 2
2 1 2
3 0 1 2
0 0
1 3 0 1
2 4 2 1
3 3 2 1
4 4 2 1
5 3 2 1
6 2 2 1
7 2 2 1
8 2 2 1
9 1 1 1
10 4 1 1
11 4 1 1
12 1 2 1
13 3 2 1
14 4 1 1
15 2 1 1
16 3 2 1
17 2 2 1
18 2 2 1
19 3 2 1
20 4 1 1
21 4 2 1
22 1 2 1
23 2 1 1
24 3 2 1
25 4 1 1
26 4 2 1
27 2 2 1
28 2 1 1
29 1 2 1
30 2 2 1
31 0
0 1 2 3
1 4 9 10
2 4 7 14
3 6
4 5 15 17
5 27
6 11 14 19
7 8 16 23
8 13 29
9 12 22
10 28
11 13 15 25
12 18
13 24
14 16 20
15 22 23
16 21 28
17 19 21 26
18 19 25 27
19 29
20 21 22 26
21 25 30
22 28
23 24
24 26 27
25 29
26 30
27 30
28 31
29 31
30 31
31
