32 3 4
0 1 2
1 1 2
2 0 1 2
3 1 2
0 0
1 4 2 1
2 4 1 1
3 2 1 1
4 4 1 1
5 3 0 1
6 2 0 1
7 1 1 1
8 1 1 1
9 2 2 1
10 2 0 1
11 3 2 1
12 6 2 1
13 3 1 1
14 5 1 1
15 1 2 1
16 5 2 1
17 3 2 1
18 1 2 1
19 3 2 1
20 2 1 1
21 4 1 1
22 5 1 1
23 1 1 1
24 3 2 1
25 4 1 1
26 5 2 1
27 2 1 1
28 2 0 1
29 2 1 1
30 3 2 1
31 0
0 1 2 3
1 5 6 15
2 10 14 28
3 4 7 9
4 21 27
5 8 14 28
6 9 11 16
7 10 20 21
8 10 11 24
9 17 18 19
10 17 23
11 12
12 13 19
13 18 20 23
14 16 17 21
15 16 23 28
16 18 19 24
17 22 26
18 22 27
19 20 22
20 25 26
21 24 25 30
22 25 30
23 26
24 29
25 29
26 27
27 29 30
28 31
29 31
30 31
31
