32 3 5
0 2
1 1 2
2 1 2
3 1 2
4 0 1 2
0 0
1 3 2 1
2 1 1 1
3 4 2 1
4 3 2 1
5 2 1 1
6 6 1 1
7 2 2 1
8 4 2 1
9 1 1 1
10 2 2 1
11 1 2 1
12 2 1 1
13 3 2 1
14 3 0 1
15 4 2 1
16 4 2 1
17 3 2 1
18 5 2 1
19 3 1 1
20 3 2 1
21 3 2 1
22 3 2 1
23 2 1 1
24 2 2 1
25 2 2 1
26 3 1 1
27 2 2 1
28 2 2 1
29 3 1 1
30 5 2 1
31 0
0 1 2 3
1 4 7 9
2 14
3 9 13
4 5 15
5 6
6 8 10 11
7 17 22
8 17 26 28
9 25 28 29
10 12 20 25
11 18 21 24
12 16 22 27
13 14 20
14 15 18
15 16
16 21
17 19 24
18 19 22 26
19 27
20 23 30
21 23
22 23 30
23 28 29
24 25
25 27
26 29
27 30
28 31
29 31
30 31
31
