32 3 6
0 2
1 1 2
2 1 2
3 1
4 1 2
5 0 1 2
0 0
1 5 2 1
2 2 1 1
3 2 2 1
4 3 1 1
5 2 2 1
6 3 2 2
7 2 1 1 2 1
8 2 2 1
9 2 2 2
10 2 2 2
11 1 1 1
12 1 2 1
13 2 1 1 2 1
14 3 1 2
15 3 1 1
16 3 1 2
17 2 1 1
18 1 1 1
19 2 1 2
20 2 1 1 2 1
21 8 0 1 1 1
22 2 1 2
23 3 2 1
24 2 1 1
25 4 2 1
26 2 1 1
27 5 1 1 2 1
28 5 2 2
29 5 1 1 2 1
30 3 2 1
31 0
0 1 2 3
1 4 7 11
2 9 10 12
3 5 6 13
4 16 19 28
5 8 12 18
6 8 10 12
7 8 10 19
8 15 20 23
9 14 17 19
10 14 17 24
11 16 24 28
12 14 20 27
13 15 18 27
14 15 16 22
15 21 30
16 21
17 18 29
18 20 30
19 21 25
20 26
21 29
22 25 26
23 24 26
24 25 27
25 29
26 28
27 30
28 31
29 31
30 31
31
