62 3 4
0 1
1 1 2
2 1 2
3 0 1 2
0 0
1 3 1 1
2 2 1 1
3 4 2 1
4 1 2 1
5 2 1 1
6 2 2 1
7 1 1 1
8 2 2 1
9 3 1 1
10 5 1 1
11 1 1 1
12 2 1 1
13 4 2 1
14 1 2 1
15 2 1 1
16 2 2 1
17 5 1 1
18 2 1 1
19 3 1 1
20 2 0 1
21 2 1 1
22 2 1 1
23 1 2 1
24 5 1 1
25 2 2 1
26 1 1 1
27 2 1 1
28 2 2 1
29 2 1 1
30 1 1 1
31 5 2 1
32 1 2 1
33 2 0 1
34 3 1 1
35 4 1 1
36 3 2 1
37 1 0 1
38 2 1 1
39 1 1 1
40 4 1 1
41 2 1 1
42 1 1 1
43 3 1 1
44 1 1 1
45 2 1 1
46 5 1 1
47 2 2 1
48 2 1 1
49 2 2 1
50 2 2 1
51 2 2 1
52 2 1 1
53 4 2 1
54 3 1 1
55 2 1 1
56 3 1 1
57 3 1 1
58 3 1 1
59 4 1 1
60 2 1 1
61 0
0 1 2 3
1 4 10 40
2 5 12 13
3 6 26 34
4 8 16 33
5 9 23
6 7 17 43
7 29
8 19 41
9 11
10 46
11 18 19 24
12 28 53
13 14 15 35
14 21 22 36
15 48
16 20 25 27
17 25 31 52
18 36 52
19 34 57
20 38 41 42
21 55
22 26
23 30
24 41 46 51
25 36 39 44
26 39 50
27 28
28 37
29 33 45 56
30 32
31 33 40 49
32 40 46
33 37 38 55
34 37 56
35 43 44
36 47
37 58
38 59
39 47 51
40 45 54
41 55
42 45 57
43 53
44 48 49 54
45 47
46 50
47 48
48 53
49 51 58
50 52 54
51 56
52 57
53 60
54 58
55 59 60
56 60
57 59
58 61
59 61
60 61
61
