62 3 4
0 1 2
1 1 2
2 1 2
3 0 1 2
0 0
1 2 2 1
2 2 1 1
3 5 2 1
4 3 2 1
5 5 1 1
6 2 2 1
7 1 0 1
8 3 1 1
9 1 2 1
10 2 0 1
11 3 1 1
12 2 1 1
13 5 2 1
14 3 1 1
15 3 2 1
16 4 1 1
17 3 2 1
18 4 1 1
19 1 0 1
20 4 2 1
21 3 2 1
22 5 2 1
23 1 2 1
24 2 2 1
25 3 1 1
26 3 2 1
27 1 1 1
28 4 0 1
29 4 2 1
30 4 2 1
31 1 2 1
32 2 2 1
33 2 2 1
34 2 0 1
35 5 1 1
36 3 2 1
37 2 2 1
38 3 2 1
39 3 2 1
40 6 1 1
41 2 1 1
42 2 1 1
43 3 1 1
44 4 2 1
45 4 2 1
46 2 1 1
47 2 2 1
48 4 2 1
49 4 1 1
50 3 2 1
51 1 1 1
52 3 1 1
53 3 1 1
54 3 2 1
55 3 1 1
56 2 2 1
57 4 2 1
58 1 2 1
59 4 2 1
60 2 2 1
61 0
0 1 2 3
1 4 31 46
2 5 6 18
3 7 12 37
4 25 26 51
5 13 19 58
6 8 11 30
7 10 15 17
8 9 27 39
9 14 23 40
10 20 27 28
11 21 28 40
12 16 39 45
13 25 26
14 45 53 59
15 22 29 33
16 23 25 35
17 22 29 53
18 19
19 27 54
20 32 34 38
21 38 44 56
22 31 35 45
23 24 42 49
24 28 33
25 29
26 35 36 38
27 55
28 31 41 50
29 34 42 44
30 32 33 34
31 36 52 55
32 39 40
33 50
34 36 41
35 42 44 47
36 57
37 46 48 49
38 47
39 41 43 46
40 43 50
41 47 55
42 60
43 49
44 54
45 48
46 56
47 48 57
48 60
49 51 52
50 51 52 54
51 53
52 56
53 58
54 57
55 59
56 58 60
57 59
58 61
59 61
60 61
61
