62 3 5
0 0 1 2
1 1 2
2 1
3 1 2
4 1
0 0
1 1 1 1
2 1 2 1
3 5 0 1
4 2 1 1
5 2 2 1
6 1 2 1
7 4 1 1
8 4 1 1
9 6 1 1
10 4 2 1
11 1 1 1
12 3 2 1
13 1 0 1
14 2 1 1
15 4 1 1
16 3 1 1
17 2 1 1
18 2 1 1
19 1 1 1
20 3 0 1
21 2 0 1
22 3 1 1
23 2 1 1
24 4 1 1
25 3 1 1
26 3 0 1
27 3 1 1
28 2 2 1
29 3 1 1
30 1 1 1
31 2 1 1
32 2 2 1
33 5 1 1
34 2 2 1
35 4 2 1
36 2 1 1
37 5 1 1
38 3 2 1
39 2 2 1
40 2 1 1
41 2 2 1
42 3 1 1
43 2 1 1
44 3 2 1
45 3 1 1
46 2 1 1
47 1 1 1
48 2 1 1
49 2 2 1
50 4 0 1
51 2 0 1
52 3 1 1
53 4 2 1
54 3 1 1
55 1 1 1
56 3 1 1
57 2 2 1
58 4 1 1
59 3 2 1
60 3 1 1
61 0
0 1 2 3
1 7 11 30
2 4 5 15
3 6 34 36
4 8 30 31
5 9 17 44
6 8 13 16
7 20 22 27
8 10 23 56
9 12 21 29
10 29 35 45
11 14 20 54
12 16 36
13 23 37 41
14 17 18
15 19 27 58
16 33
17 26 27
18 26 28 47
19 31 42 52
20 35 37
21 25 30 42
22 24 26 28
23 25 28 43
24 31 39 45
25 40 45
26 36 48
27 47
28 35 46
29 32 49
30 32 34
31 43 46
32 38 41 50
33 37 41 56
34 38 40 50
35 40 49 53
36 39 52 53
37 38
38 39 48 52
39 60
40 57
41 46 48 51
42 47 50
43 44
44 54
45 49 51
46 55
47 56 59
48 55 58
49 55 58
50 51 53
51 54
52 57
53 57
54 60
55 59
56 60
57 59
58 61
59 61
60 61
61
