92 3 4
0 2
1 1 2
2 0 1 2
3 2
0 0
1 2 1 1
2 5 1 1
3 1 2 1
4 2 2 1
5 3 1 1
6 2 2 1
7 2 2 1
8 1 1 1
9 1 2 1
10 3 2 1
11 1 2 1
12 1 2 1
13 3 2 1
14 1 2 1
15 2 2 1
16 1 1 1
17 1 2 1
18 1 2 1
19 1 2 1
20 3 2 1
21 1 0 1
22 3 2 1
23 3 2 1
24 2 2 1
25 1 2 1
26 1 1 1
27 2 2 1
28 3 0 1
29 2 1 1
30 2 1 1
31 4 2 1
32 3 2 1
33 4 2 1
34 1 2 1
35 3 2 1
36 3 2 1
37 1 1 1
38 2 2 1
39 1 2 1
40 4 0 1
41 2 0 1
42 4 0 1
43 3 2 1
44 4 2 1
45 2 2 1
46 1 2 1
47 1 1 1
48 2 2 1
49 2 1 1
50 1 2 1
51 2 2 1
52 3 2 1
53 4 0 1
54 2 1 1
55 1 2 1
56 2 1 1
57 1 2 1
58 3 2 1
59 3 2 1
60 3 2 1
61 3 0 1
62 1 2 1
63 4 2 1
64 4 0 1
65 1 2 1
66 1 2 1
67 2 2 1
68 3 2 1
69 1 2 1
70 2 1 1
71 2 2 1
72 2 2 1
73 3 2 1
74 4 2 1
75 2 0 1
76 2 2 1
77 3 2 1
78 3 1 1
79 2 1 1
80 2 0 1
81 2 2 1
82 2 1 1
83 5 1 1
84 1 2 1
85 2 2 1
86 2 2 1
87 3 2 1
88 1 2 1
89 2 2 1
90 2 2 1
91 0
0 1 2 3
1 4 8 77
2 7 14 18
3 10 32 55
4 5 20 36
5 6 12 16
6 11 31 41
7 9 34 44
8 20 34 41
9 68
10 30 50 60
11 13 17 49
12 15 23 25
13 24 46 59
14 19 83
15 50
16 28 35 38
17 22 57
18 29 60
19 22 36 72
20 21 76
21 27 37 64
22 28 38
23 41
24 26 33 42
25 39
26 43 44 51
27 65
28 63
29 39 54
30 72
31 46 51 68
32 84
33 55 58 67
34 48
35 40 70 82
36 58 61 87
37 47 81
38 45 52 85
39 56 73
40 59 83
41 48 51
42 78 90
43 67
44 50 52
45 66 76
46 83
47 55
48 68
49 71
50 61 75
51 53 64
52 56 80
53 85
54 69 78
55 65 70 75
56 61
57 62 81
58 90
59 86
60 69
61 76
62 66
63 74
64 66 67
65 73 79
66 75
67 88
68 71
69 72
70 73
71 74 78
72 74 77
73 88
74 82 84
75 79 84
76 89
77 80 81
78 79 80
79 82
80 86 87
81 86
82 87
83 85
84 90
85 88
86 89
87 89
88 91
89 91
90 91
91
