92 3 4
0 1 2
1 0 1 2
2 1 2
3 1 2
0 0
1 2 1 1
2 4 2 1
3 3 2 1
4 3 1 1
5 4 2 1
6 3 2 1
7 2 2 1
8 2 1 1
9 2 1 1
10 3 2 1
11 1 1 1
12 4 1 1
13 2 1 1
14 1 0 1
15 3 1 1
16 2 1 1
17 3 2 1
18 3 1 1
19 1 1 1
20 2 2 1
21 1 2 1
22 3 2 1
23 6 2 1
24 4 1 1
25 2 2 1
26 2 2 1
27 2 1 1
28 3 1 1
29 2 2 1
30 2 1 1
31 6 2 1
32 3 2 1
33 1 1 1
34 2 2 1
35 3 2 1
36 1 1 1
37 5 1 1
38 1 2 1
39 2 2 1
40 3 2 1
41 2 1 1
42 2 1 1
43 3 2 1
44 5 1 1
45 1 0 1
46 4 2 1
47 1 2 1
48 4 1 1
49 2 2 1
50 2 1 1
51 5 2 1
52 2 0 1
53 1 1 1
54 6 2 1
55 3 2 1
56 4 1 1
57 1 2 1
58 2 0 1
59 1 1 1
60 3 1 1
61 2 2 1
62 1 1 1
63 2 1 1
64 3 1 1
65 4 2 1
66 9 2 1
67 5 1 1
68 4 2 1
69 4 2 1
70 1 1 1
71 1 2 1
72 1 2 1
73 2 1 1
74 3 2 1
75 4 2 1
76 2 2 1
77 2 1 1
78 3 1 1
79 4 1 1
80 3 1 1
81 3 2 1
82 4 0 1
83 2 2 1
84 2 1 1
85 2 1 1
86 1 1 1
87 1 2 1
88 4 2 1
89 1 2 1
90 1 0 1
91 0
0 1 2 3
1 6 13 32
2 5 18 19
3 4 18 50
4 26 41 54
5 17 23 24
6 7 12 50
7 8 20 25
8 9 10 22
9 15 21 74
10 11 14 16
11 15
12 37 43 79
13 20 22 88
14 29 47 48
15 33 49 59
16 19 70
17 28 86
18 22 31 38
19 44 46 47
20 46 51
21 42 81 84
22 27 63
23 60 70 83
24 39
25 40 51
26 32 36 52
27 60 67 72
28 62
29 30 34 52
30 35 51 73
31 36 41 45
32 44 49 53
33 39 55 65
34 36 66 75
35 40 55 74
36 64
37 48 78
38 39 40 87
39 61 75
40 41 61 83
41 46 49 69
42 48 52 53
43 45 71
44 45 55
45 58 61 74
46 59 90
47 56 57 67
48 57 58 71
49 84
50 56 64
51 58 63 65
52 65 72 82
53 57
54 56 63 66
55 60 69 75
56 59 68 73
57 76 87
58 72
59 81
60 79
61 69
62 64 66 70
63 67 85
64 79
65 68 83
66 71
67 68 76 77
68 78
69 77 80
70 82
71 73
72 86
73 76 82
74 80
75 77 80
76 90
77 78
78 86
79 81
80 84 85
81 89
82 87
83 85
84 88
85 90
86 89
87 88 89
88 91
89 91
90 91
91
