92 3 5
0
1 1 2
2 1 2
3 0 1 2
4 1 2
0 0
1 3
2 3
3 2 1 1
4 3 2 1
5 3 1 1
6 3 2 1
7 3 1 1
8 2 2 1
9 3 1 1
10 2
11 2 2 1
12 1 0 1
13 1
14 1
15 2 2 1
16 2 2 1
17 1 1 1
18 1 0 1
19 2 1 1
20 2 2 1
21 3 2 1
22 3 1 1
23 3 1 1
24 1 1 1
25 3 2 1
26 2 1 1
27 2 2 1
28 1 1 1
29 2 1 1
30 2 2 1
31 2
32 2 2 1
33 3
34 2 2 1
35 2
36 1 1 1
37 5 2 1
38 3 1 1
39 2 2 1
40 2
41 2 2 1
42 1 2 1
43 2
44 3 1 1
45 3 0 1
46 2
47 4 2 1
48 3 1 1
49 3 2 1
50 4 1 1
51 2 1 1
52 3 1 1
53 1 2 1
54 1 1 1
55 3 2 1
56 3 2 1
57 1 2 1
58 2 0 1
59 2 2 1
60 2 2 1
61 4
62 2
63 2 2 1
64 2 1 1
65 4
66 1
67 2
68 2 1 1
69 2 2 1
70 3 1 1
71 1 2 1
72 2 1 1
73 2 1 1
74 3
75 2 1 1
76 2 2 1
77 3 2 1
78 3
79 1 1 1
80 2 1 1
81 4 1 1
82 3
83 3
84 4
85 3 1 1
86 3 2 1
87 5 1 1
88 2
89 3 1 1
90 1 2 1
91 0
0 1 2 3
1 5 7 9
2 4 14 24
3 23 78 89
4 6 18 20
5 17 22 55
6 8 60
7 15 49 76
8 10 11 12
9 21 33 58
10 13 41 64
11 29 80
12 19 47 63
13 25 27 84
14 16
15 55 66
16 40 43 81
17 40
18 46 72
19 31 40 64
20 37 79
21 28
22 45 51
23 38 56 65
24 26 30 36
25 65
26 71
27 35 48 87
28 42 44 81
29 33
30 32 39
31 56 61
32 34 52
33 87
34 35 43 62
35 44 76
36 62
37 52 66
38 45
39 43 48 68
40 70 82
41 70
42 59 83
43 44 53
44 69 90
45 50 54
46 61 68
47 50 56 59
48 66 75 88
49 77
50 62 75
51 57
52 54
53 55 73 82
54 63 67
55 71
56 75
57 83
58 60 61 81
59 72 73
60 67
61 78
62 69
63 72
64 79
65 67 73 85
66 89
67 69 74 90
68 80 87
69 70
70 83
71 74
72 76 80
73 74
74 77
75 85
76 77
77 88
78 79 84
79 85
80 86
81 82
82 84
83 88
84 86
85 86
86 90
87 89
88 91
89 91
90 91
91
